Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	2	Quarter	2023	ple.27.7e	27.7.e	DRB_MOL_0_0_0_all	464720	kWd	605.21	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_<16_0_0_all	4006	kWd	11.54	Landings	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	27881	kWd	0.00	Discards	R-Reported	Imported
Belgium	2023	Year	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	699209	kWd	25927.00	Discards	R-Reported	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	539506	kWd	6641.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	TBB_CRU_16-31_0_0_all	8940	kWd	3285.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	65500	kWd	1020.00	BMS landing	A-All - reported, nonre	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	DRB_MOL_0_0_0_all	934270	kWd	353.75	Landings	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	14687	kWd	188.72	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0	1861368	kWd	373.71	Landings	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0	718467	kWd	0.00	Discards	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	11316	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	4303	kWd	367.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	219358	kWd	19554.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_>=120_0_0_all	568	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	989179	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	430311	kWd	15.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	OTM_SPF_32-69_0_0_all	4550	kWd	32.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	LHP_FIF_0_0_0_all	54710	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	OTB_SPF_32-69_0_0_all	341	kWd	96.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_SPF_32-69_0_0_all	1355	kWd	239.00	Landings	A-All - reported, nonre	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	OTT_DEF_70-99_0_0	6078	kWd	17.74	Landings	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	OTM_DEF_70-99_0_0_all	57372	kWd	96.68	Landings	R-Reported	Imported
Belgium	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0_all	2150	kWd	104.00	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	LLS_DEF	30264	kWd	111.95	Landings	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_16-31_0_0	1425	kWd	20.04	Landings	R-Reported	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_32-69_0_0_all	-9	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
Netherlands	4	Quarter	2023	ple.27.7e	27.7.e	SSC_DEF_All_0_0_All	1769	kWd	20.00	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	DRB_MOL_0_0_0_all	81458	kWd	8.98	Landings	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	2523	kWd	2.69	Landings	R-Reported	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	54692	kWd	14035.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	53926	kWd	9521.00	Landings	A-All - reported, nonre	Imported
Netherlands	2	Quarter	2023	ple.27.7e	27.7.e	SSC_DEF_100-119_0_0_all	13967	kWd	60.00	Landings	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0	672895	kWd	3647.94	Landings	R-Reported	Imported
