"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,55.63,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","1","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,152,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,211.41,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,172,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,239.23,"Discards","A-All - reported, nonre","Raised Discard"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",189856,"kWd",117.28,"Landings","R-Reported","Imported"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",189856,"kWd",117.39,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",330104,"kWd",687.41,"Landings","R-Reported","Imported"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",330104,"kWd",688.06,"Discards","R-Reported","Raised Discard"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",966366,"kWd",4102.25,"Landings","R-Reported","Imported"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",966366,"kWd",4106.14,"Discards","R-Reported","Raised Discard"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",1261606,"kWd",1729.45,"Landings","R-Reported","Imported"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","DRB_MOL_0_0_0_all",1261606,"kWd",1731.09,"Discards","R-Reported","Raised Discard"
"Netherlands","1","Quarter",2015,"ple.27.7e","27.7.e","SSC_DEF_70-99_0_0_all",36313,"kWd",588.81,"Landings","R-Reported","Imported"
"Netherlands","1","Quarter",2015,"ple.27.7e","27.7.e","SSC_DEF_70-99_0_0_all",36313,"kWd",306.43,"Discards","R-Reported","Raised Discard"
"Ireland","4","Quarter",2015,"ple.27.7e","27.7.e","SSC_DEF_100-119_0_0_all",-9,NA,1,"Landings","R-Reported","Imported"
"Ireland","4","Quarter",2015,"ple.27.7e","27.7.e","SSC_DEF_100-119_0_0_all",-9,NA,0.52,"Discards","R-Reported","Raised Discard"
